St  Name                           Version                        Arch   Description                                                  Licenses
--  ----                           -------                        ----   -----------                                                  --------
ii  adduser                        3.115                          all    add and remove users and groups                              GPL-2
ii  adwaita-icon-theme             3.22.0-1+deb9u1                all    default icon theme of GNOME                                  GFDL-1.2 GPL LGPL-3
ii  alacarte                       3.11.91-2+rpi5                 all    easy GNOME menu editing tool                                 LGPL-2
ii  alsa-base                      1.0.27+1                       all    dummy package to ease purging of obsolete conffiles          GPL-3+
ii  alsa-utils                     1.1.3-1                        armhf  Utilities for configuring and using ALSA                     LPGL-2.1+
ii  apt                            1.4.9                          armhf  commandline package manager                                  GPL-2
ii  apt-listchanges                3.10                           all    package change history notification tool                     GPL-2+
ii  apt-transport-https            1.4.9                          armhf  https download transport for APT                             GPL-2
ii  apt-utils                      1.4.9                          armhf  package management related utility programs                  GPL-2
ii  aptitude                       0.8.7-1                        armhf  terminal-based package manager                               GPL-2+
ii  aptitude-common                0.8.7-1                        all    architecture independent files for the aptitude package mana GPL-2+
ii  aspell                         0.60.7~20110707-3              armhf  GNU Aspell spell-checker                                     LGPL
ii  aspell-en                      2016.11.20-0-0.1               all    English dictionary for GNU Aspell                            public domain Public Domain
ii  avahi-daemon                   0.6.32-2                       armhf  Avahi mDNS/DNS-SD daemon                                     GPL GPL-2 LGPL-2.1
ii  base-files                     9.9+rpi1+deb9u6                armhf  Debian base system miscellaneous files                       GPL
ii  base-passwd                    3.5.43                         armhf  Debian base system master password and group files           GPL-2
ii  bash                           4.4-5                          armhf  GNU Bourne Again SHell                                       GPL-3
ii  bash-completion                1:2.1-4.3                      all    programmable completion for the bash shell                   GPL-2+
ii  bind9-host                     1:9.10.3.dfsg.P4-12.3+deb9u4   armhf  Version of 'host' bundled with BIND 9.X                      unknown
ii  binutils                       2.28-5                         armhf  GNU assembler, linker and binary utilities                   GFDL GPL LGPL
ii  blends-tasks                   0.6.96                         all    Debian Pure Blends tasks for new installations               GPL-2+
ii  blt                            2.5.3+dfsg-3                   armhf  graphics extension library for Tcl/Tk - run-time             MIT-1 MIT-2 MIT-3 MIT-4 MIT-5 MIT-6 Tcl
ii  bluealsa                       0.9                            armhf  Bluetooth ALSA Audio backend                                 Expat
ii  bluez                          5.43-2+rpt2+deb9u2             armhf  Bluetooth tools and daemons                                  Apache-2.0 BSD-2-clause Expat GPL-2 GPL-2+ LGPL-2.1+
ii  bluez-firmware                 1.2-3+rpt6                     all    Firmware for Bluetooth devices                               cypress-wireless GPL-2+
ii  bsdmainutils                   9.0.12+nmu1                    armhf  collection of more utilities from FreeBSD                    unknown
ii  bsdutils                       1:2.29.2-1+deb9u1              armhf  basic utilities from 4.4BSD-Lite                             BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  btrfs-progs                    4.7.3-1                        armhf  Checksumming Copy on Write Filesystem utilities              GPL-2 GPL-2+
ii  build-essential                12.3                           armhf  Informational list of build-essential packages               GPL
ii  bzip2                          1.0.6-8.1                      armhf  high-quality block-sorting file compressor - utilities       GPL-2
ii  ca-certificates                20161130+nmu1+deb9u1           all    Common CA certificates                                       GPL-2+ MPL-2.0
ii  chromium-browser               65.0.3325.181-0+rpt4           armhf  Chromium web browser, open-source version of Chrome          Apache-2.0 GPL-2 GPL-3 LGPL-2 LGPL-2.1
ii  chromium-browser-l10n          65.0.3325.181-0+rpt4           all    chromium-browser language packages                           Apache-2.0 GPL-2 GPL-3 LGPL-2 LGPL-2.1
ii  chromium-codecs-ffmpeg-extra   65.0.3325.181-0+rpt4           armhf  Extra ffmpeg codecs for the Chromium Browser                 Apache-2.0 GPL-2 GPL-3 LGPL-2 LGPL-2.1
ii  cifs-utils                     2:6.7-1                        armhf  Common Internet File System utilities                        GPL-3+ LGPL-3+
ii  console-setup                  1.164                          all    console font and keymap setup program                        GPL-2
ii  console-setup-linux            1.164                          all    Linux specific part of console-setup                         GPL-2
ii  coreutils                      8.26-3                         armhf  GNU core utilities                                           GPL-3
ii  cpio                           2.11+dfsg-6                    armhf  GNU cpio -- a program to manage archives of files            GPL-3
ii  cpp                            4:6.3.0-4                      armhf  GNU C preprocessor (cpp)                                     GPL
ii  cpp-6                          6.3.0-18+rpi1+deb9u1           armhf  GNU C preprocessor                                           Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  crda                           3.18-1                         armhf  wireless Central Regulatory Domain Agent                     copyleft-next-0.3.0 ISC
ii  cron                           3.0pl1-128+deb9u1              armhf  process scheduling daemon                                    Artistic GPL-2+ ISC Paul-Vixie's-license
ii  curl                           7.52.1-5+deb9u8                armhf  command line tool for transferring data with URL syntax      BSD-3-Clause BSD-4-Clause curl ISC other public-domain
ii  dash                           0.5.8-2.4                      armhf  POSIX-compliant shell                                        GPL
ii  dbus                           1.10.26-0+deb9u1               armhf  simple interprocess messaging system (daemon and utilities)  AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat g10-permissive GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish
ii  dbus-user-session              1.10.26-0+deb9u1               all    simple interprocess messaging system (systemd --user integra AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat g10-permissive GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish
ii  dbus-x11                       1.10.26-0+deb9u1               armhf  simple interprocess messaging system (X11 deps)              AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat g10-permissive GPL-2+ GPL-2+ or AFL-2.1 GPL-2+ or AFL-2.1, Tcl-BSDish
ii  dc                             1.06.95-9                      armhf  GNU dc arbitrary precision reverse-polish calculator         GPL-2.0+ GPL-2.0+ with Texinfo exception permissive public-domain X11
ii  dconf-gsettings-backend:armhf  0.26.0-2                       armhf  simple configuration storage system - GSettings back-end     GPL-3 LGPL-2+
ii  dconf-service                  0.26.0-2                       armhf  simple configuration storage system - D-Bus service          GPL-3 LGPL-2+
ii  debconf                        1.5.61                         all    Debian configuration management system                       BSD-2-clause
ii  debconf-i18n                   1.5.61                         all    full internationalization support for debconf                BSD-2-clause
ii  debconf-utils                  1.5.61                         all    debconf utilities                                            BSD-2-clause
ii  debian-reference-common        2.68                           all    Debian system administration guide, common files             GPL-2
ii  debian-reference-en            2.68                           all    Debian system administration guide, English original         GPL-2
ii  debianutils                    4.8.1.1                        armhf  Miscellaneous utilities specific to Debian                   GPL
ii  debootstrap                    1.0.89                         all    Bootstrap a basic Debian system                              unknown
ii  desktop-base                   9.0.2+deb9u1                   all    common files for the Debian Desktop                          GPL-2 GPL-3 LGPL-2.1 LGPL-3
ii  desktop-file-utils             0.23-1                         armhf  Utilities for .desktop files                                 GPL-2+
ii  device-tree-compiler           1.4.4-1                        armhf  Device Tree Compiler for Flat Device Trees                   GPL
